Time(s)	ST-1	ST-2	ST-3	ST-4	SP-1	SC-1	AB-1	AVE-1	AR-1
0.000	32.553	112.097	59.508	62.708	4.079	34.480	1.250	1.000	0.000
0.900	32.543	112.553	59.539	62.726	4.079	34.522	1.250	1.000	0.000
1.000	32.544	112.587	59.539	62.726	4.079	34.545	1.250	1.000	0.000
2.000	32.532	112.725	59.454	62.654	4.079	34.524	1.250	1.000	1.000
3.000	32.526	112.604	59.254	62.456	4.079	34.800	1.250	1.000	1.000
4.000	32.515	112.544	58.965	62.175	4.079	35.088	1.250	1.000	1.000
5.000	32.508	112.841	58.623	61.813	4.079	35.321	1.250	1.000	0.000
6.000	32.502	113.625	58.266	61.475	4.079	35.301	1.250	1.000	0.000
7.000	32.497	114.693	57.923	61.131	4.079	35.255	1.250	1.000	0.000
8.000	32.490	115.721	57.578	60.798	4.079	35.279	1.250	1.000	0.000
9.000	32.483	116.513	57.234	60.472	4.079	35.260	1.250	1.000	0.000
10.000	32.472	117.001	56.877	60.119	4.080	35.375	1.250	1.000	0.000
11.000	32.463	117.136	56.496	59.759	4.080	35.474	1.250	1.000	1.000
12.000	32.456	116.953	56.098	59.372	4.079	35.695	1.250	1.000	1.000
13.000	32.450	116.696	55.694	58.974	4.079	35.878	1.250	1.000	1.000
14.000	32.449	116.701	55.303	58.576	4.079	35.968	1.250	1.000	0.000
15.000	32.444	117.156	54.944	58.215	4.079	36.032	1.250	1.000	0.000
16.000	32.440	117.992	54.626	57.901	4.080	35.935	1.250	1.000	0.000
17.000	32.429	118.913	54.355	57.626	4.079	35.770	1.250	1.000	0.000
18.000	32.421	119.673	54.102	57.363	4.078	35.615	1.250	1.000	0.000
19.000	32.415	120.148	53.857	57.109	4.077	35.592	1.250	1.000	0.000
20.000	32.409	120.293	53.609	56.859	4.076	35.607	1.250	1.000	0.000
21.000	32.393	120.104	53.347	56.621	4.076	35.693	1.250	1.000	1.000
22.000	32.392	119.722	53.078	56.371	4.079	35.891	1.250	1.000	1.000
